Sean, Rodriguez, 15234441,3.14, RoSe4441
Bryan, Waxman, 29381667,2.609, WaBr0667
Lisa, DiMarco, 53480257,3.829, DiLi0257
Stephanie, Passanante, 23339384,3.219, PaSt0384
Michelle, DiMarco, 87124566,1.155, DiMi0566
David, Phillips, 69285512,1.458, PhDa0512
Bryan, Kudrow, 88382048,3.741, KuBr0048
Bob, Reich, 11184339,1.123, ReBo0339
Michael, DiMarco, 78930299,1.577, DiMi0299
Bob, Passanante, 46359388,3.243, PaBo0388
Stephanie, Phillips, 37940813,2.847, PhSt0813
Bob, Reich, 98575511,3.875, ReBo0511
John, Phillips, 47975091,1.374, PhJo0091
Bryan, Reich, 88907237,2.242, ReBr0237
Bob, Waxman, 79545934,2.476, WaBo0934
Bryan, Levitts, 99276184,2.308, LeBr0184
Leslie, Levitts, 85476688,2.213, LeLe0688
Stephanie, Reich, 76040359,3.624, ReSt0359
Bryan, Waxman, 18691286,1.738, WaBr0286
Leslie, Levitts, 93518149,2.044, LeLe0149
Stephanie, Levitts, 39567895,1.211, LeSt0895
Bob, DiMarco, 59829811,3.647, DiBo0811
Bryan, DiMarco, 31488960,2.495, DiBr0960
Bryan, Reich, 19939282,1.945, ReBr0282
David, Waxman, 85720478,2.599, WaDa0478
Lisa, DiMarco, 73279125,1.238, DiLi0125
Bryan, Levitts, 39253315,2.579, LeBr0315
Stephanie, Passanante, 25841408,1.685, PaSt0408
Michael, Levitts, 41739357,3.369, LeMi0357
Leslie, Passanante, 89117343,3.44, PaLe0343
Lisa, Waxman, 10155337,2.75, WaLi0337
John, Reich, 90768493,3.95, ReJo0493
Bob, DiMarco, 82327125,2.424, DiBo0125
David, Passanante, 84412353,2.232, PaDa0353
Lisa, Kudrow, 62947310,1.908, KuLi0310
Michelle, Reich, 48405139,3.752, ReMi0139
David, DiMarco, 18218875,1.718, DiDa0875
Lisa, Passanante, 76004550,2.214, PaLi0550
David, Waxman, 57757789,3.044, WaDa0789
David, Levitts, 51795393,2.368, LeDa0393
Leslie, Kudrow, 64887329,3.9, KuLe0329
Michelle, Levitts, 81760795,1.672, LeMi0795
Michelle, Levitts, 68956912,1.444, LeMi0912
Michelle, Waxman, 86881879,2.396, WaMi0879
Michelle, Waxman, 85818306,1.949, WaMi0306
John, Phillips, 52648700,3.51, PhJo0700
John, Waxman, 75091989,1.632, WaJo0989
Bob, DiMarco, 19365226,3.441, DiBo0226
Lisa, Passanante, 55356475,1.304, PaLi0475
Bob, Waxman, 90631222,3.55, WaBo0222
Lisa, DiMarco, 80893440,1.565, DiLi0440
Michelle, Passanante, 39883817,2.907, PaMi0817
Bob, Waxman, 76121435,3.995, WaBo0435
Michelle, Levitts, 97381567,2.708, LeMi0567
Michael, Waxman, 86351018,2.572, WaMi0018
Leslie, Levitts, 22513855,3.427, LeLe0855
John, Passanante, 85994102,1.265, PaJo0102
David, Levitts, 68818399,2.539, LeDa0399
David, Reich, 37860354,1.535, ReDa0354
John, Levitts, 91589731,1.404, LeJo0731
Michael, Reich, 19673415,3.191, ReMi0415
Leslie, Waxman, 90461386,3.654, WaLe0386
Lisa, Phillips, 76439818,2.826, PhLi0818
Leslie, Levitts, 11844714,3.172, LeLe0714
Leslie, DiMarco, 19803343,1.8, DiLe0343
Lisa, Kudrow, 78607025,2.504, KuLi0025
Leslie, DiMarco, 48017690,3.478, DiLe0690
Lisa, DiMarco, 56871951,1.287, DiLi0951
John, Phillips, 22670223,1.185, PhJo0223
Stephanie, Phillips, 32324809,3.043, PhSt0809
David, Reich, 30789644,1.11, ReDa0644
Leslie, Waxman, 70905772,2.427, WaLe0772
Bob, Phillips, 23470386,2.106, PhBo0386
Leslie, Phillips, 31273687,2.754, PhLe0687
Michelle, Waxman, 34646537,2.101, WaMi0537
Bryan, Levitts, 98923313,3.425, LeBr0313
Bob, Waxman, 76148116,2.603, WaBo0116
Stephanie, Reich, 24338847,2.552, ReSt0847
Michelle, Waxman, 87672520,1.496, WaMi0520
Leslie, Reich, 20066469,3.915, ReLe0469
Lisa, Reich, 72803919,1.093, ReLi0919
Michael, Waxman, 84088813,3.053, WaMi0813
Lisa, Passanante, 34713466,2.176, PaLi0466
Michelle, Kudrow, 29384112,3.103, KuMi0112
Bryan, Phillips, 67673085,3.466, PhBr0085
Lisa, Waxman, 92052838,3.719, WaLi0838
Lisa, Waxman, 83015689,2.759, WaLi0689
Michael, Waxman, 32894680,3.156, WaMi0680
Lisa, Levitts, 20674596,2.678, LeLi0596
Lisa, Passanante, 69818633,3.372, PaLi0633
Michelle, Phillips, 69935003,3.759, PhMi0003
John, Waxman, 70969041,2.717, WaJo0041
Bob, Passanante, 85530303,1.344, PaBo0303
Lisa, Levitts, 30950388,3.577, LeLi0388
Stephanie, Kudrow, 17716066,3.482, KuSt0066
Michelle, Waxman, 15033671,3.034, WaMi0671
Michelle, Reich, 47454473,3.818, ReMi0473
Michael, Levitts, 28727124,1.401, LeMi0124
Lisa, Reich, 40342067,3.172, ReLi0067
David, Levitts, 22594167,1.217, LeDa0167
Leslie, Kudrow, 25413583,3.278, KuLe0583
Leslie, Waxman, 84701333,3.037, WaLe0333
Bob, DiMarco, 97454694,1.904, DiBo0694
Leslie, Kudrow, 85579041,2.113, KuLe0041
Michael, Levitts, 53956481,1.302, LeMi0481
Stephanie, Reich, 43077964,2.804, ReSt0964
Lisa, Passanante, 90344437,3.721, PaLi0437
Michael, Waxman, 67003865,2.302, WaMi0865
Bryan, DiMarco, 29614827,1.439, DiBr0827
Michael, Passanante, 25913686,1.017, PaMi0686
John, Kudrow, 75011193,2.52, KuJo0193
Bob, Reich, 90955685,1.712, ReBo0685
Bryan, DiMarco, 66873860,2.284, DiBr0860
Bob, Levitts, 94136488,2.224, LeBo0488
Michael, DiMarco, 97295191,3.179, DiMi0191
Bryan, Reich, 70897786,2.362, ReBr0786
Bryan, Waxman, 48713480,3.54, WaBr0480
Bryan, Waxman, 59385588,1.324, WaBr0588
Stephanie, Reich, 55078221,2.435, ReSt0221
Leslie, Reich, 41294745,1.719, ReLe0745
Michael, Passanante, 36719626,2.578, PaMi0626
Stephanie, Waxman, 31671640,1.042, WaSt0640
Michael, Passanante, 82555174,3.006, PaMi0174
Michael, Levitts, 77557800,3.178, LeMi0800
Lisa, Levitts, 55765991,1.001, LeLi0991
Bryan, DiMarco, 37857271,2.288, DiBr0271
Stephanie, Levitts, 61575912,2.46, LeSt0912
Leslie, DiMarco, 29310553,3.164, DiLe0553
David, Reich, 18266020,1.69, ReDa0020
Bryan, Levitts, 15957925,1.882, LeBr0925
Leslie, Passanante, 15057434,3.328, PaLe0434
Leslie, Levitts, 11974952,1.359, LeLe0952
Bob, Waxman, 12995251,3.862, WaBo0251
John, Kudrow, 50263005,2.144, KuJo0005
Stephanie, Passanante, 77466349,3.966, PaSt0349
Stephanie, Phillips, 81677601,2.538, PhSt0601
Stephanie, DiMarco, 13483952,3.61, DiSt0952
Bob, Waxman, 82277360,3.87, WaBo0360
David, Levitts, 87371690,1.661, LeDa0690
Bob, Passanante, 38476409,2.542, PaBo0409
John, Passanante, 40980062,1.447, PaJo0062
John, Kudrow, 42483048,2.161, KuJo0048
Michael, Phillips, 17068004,3.484, PhMi0004
John, DiMarco, 32907486,1.86, DiJo0486
Leslie, Passanante, 16982471,3.347, PaLe0471
Michael, Passanante, 87921436,1.64, PaMi0436
David, Levitts, 24268781,1.388, LeDa0781
Michael, Waxman, 40852429,3.335, WaMi0429
Bryan, Waxman, 70344578,1.774, WaBr0578
Lisa, Levitts, 90595606,1.526, LeLi0606
John, Passanante, 80870186,3.054, PaJo0186
Bob, Phillips, 51725858,1.497, PhBo0858
David, Phillips, 83948202,1.219, PhDa0202
David, DiMarco, 41693066,3.089, DiDa0066
Bryan, Levitts, 33785111,2.982, LeBr0111
John, Waxman, 24983302,1.01, WaJo0302
Stephanie, Kudrow, 55947765,2.721, KuSt0765
Bryan, Waxman, 66628782,1.973, WaBr0782
Bob, Phillips, 52847514,3.327, PhBo0514
David, Waxman, 19949381,2.738, WaDa0381
David, Passanante, 60584815,2.893, PaDa0815
Lisa, Waxman, 95908527,2.888, WaLi0527
Leslie, Phillips, 70787114,1.984, PhLe0114
Leslie, Phillips, 93966302,3.946, PhLe0302
Michael, Waxman, 33572852,2.938, WaMi0852
Leslie, Phillips, 46812527,1.172, PhLe0527
Lisa, Reich, 60274353,3.416, ReLi0353
Bryan, Reich, 13862680,2.106, ReBr0680
Lisa, Phillips, 57052464,2.167, PhLi0464
Stephanie, Kudrow, 20899434,1.733, KuSt0434
Lisa, Phillips, 23035703,2.728, PhLi0703
Lisa, Kudrow, 85742647,3.83, KuLi0647
David, Waxman, 19116781,1.509, WaDa0781
Lisa, Levitts, 22330602,1.851, LeLi0602
Michael, Phillips, 96039270,1.494, PhMi0270
Leslie, Passanante, 88095302,1.431, PaLe0302
John, Phillips, 42907244,3.516, PhJo0244
David, Waxman, 52014678,2.358, WaDa0678
Bob, Passanante, 99750716,2.817, PaBo0716
Stephanie, Passanante, 43224448,2.593, PaSt0448
David, Levitts, 20279670,1.368, LeDa0670
Bob, Kudrow, 82572517,3.685, KuBo0517
Lisa, Kudrow, 13459494,2.149, KuLi0494
Michelle, Waxman, 81998663,3.67, WaMi0663
John, Kudrow, 95040650,3.372, KuJo0650
Bryan, Passanante, 49122383,3.287, PaBr0383
Bryan, Phillips, 72675381,2.346, PhBr0381
Bryan, Levitts, 76921663,1.108, LeBr0663
Leslie, Passanante, 70754251,1.458, PaLe0251
Stephanie, DiMarco, 80885499,1.927, DiSt0499
Bryan, DiMarco, 83595358,3.479, DiBr0358
Stephanie, Passanante, 78523000,3.477, PaSt0000
Michelle, Reich, 38119025,2.168, ReMi0025
David, Reich, 28611865,2.344, ReDa0865
Bob, DiMarco, 69640761,1.881, DiBo0761
Bob, Passanante, 70069050,3.637, PaBo0050
Leslie, DiMarco, 16915339,1.648, DiLe0339
Bryan, Kudrow, 42826436,1.785, KuBr0436
Michael, Waxman, 45064770,2.948, WaMi0770
John, Kudrow, 75594329,2.518, KuJo0329
John, Passanante, 97523012,2.126, PaJo0012
Lisa, Phillips, 87895574,3.908, PhLi0574
Bob, Levitts, 40630207,1.183, LeBo0207
Lisa, Waxman, 36253119,2.022, WaLi0119
John, Levitts, 47009271,2.395, LeJo0271
John, Levitts, 56913832,3.559, LeJo0832
Michelle, Levitts, 66357643,3.984, LeMi0643
Lisa, Kudrow, 39991395,1.545, KuLi0395
Stephanie, Passanante, 44787011,2.79, PaSt0011
Michael, Waxman, 82411053,2.92, WaMi0053
Michelle, Passanante, 56343817,1.683, PaMi0817
Lisa, Kudrow, 49539087,2.627, KuLi0087
John, Reich, 72843373,2.156, ReJo0373
Michael, Levitts, 97879764,3.523, LeMi0764
Leslie, Waxman, 20650369,2.328, WaLe0369
Bob, Passanante, 73722627,2.212, PaBo0627
Leslie, Waxman, 75538630,3.319, WaLe0630
Leslie, Phillips, 45122898,2.642, PhLe0898
Bob, Passanante, 89262885,3.709, PaBo0885
Stephanie, DiMarco, 17097833,3.04, DiSt0833
Michelle, DiMarco, 33975397,1.55, DiMi0397
Leslie, Levitts, 52421825,1.551, LeLe0825
John, Passanante, 43120257,3.138, PaJo0257
Stephanie, Passanante, 62903088,3.648, PaSt0088
David, Reich, 89938138,2.523, ReDa0138
Bryan, Reich, 88524696,3.159, ReBr0696
Lisa, Phillips, 87214352,1.461, PhLi0352
Lisa, DiMarco, 14332845,2.509, DiLi0845
Lisa, Phillips, 44402993,2.274, PhLi0993
Michelle, Kudrow, 37455091,3.507, KuMi0091
Lisa, Kudrow, 30759996,2.836, KuLi0996
Michelle, Phillips, 69131431,2.773, PhMi0431
John, DiMarco, 75617919,2.652, DiJo0919
Michelle, Passanante, 59140994,2.643, PaMi0994
Bob, Reich, 69435265,2.737, ReBo0265
Michelle, Kudrow, 12507179,1.143, KuMi0179
John, Waxman, 21753143,3.766, WaJo0143
John, Kudrow, 20864064,3.369, KuJo0064
Stephanie, Waxman, 64692101,1.714, WaSt0101
Michael, Levitts, 23366854,1.367, LeMi0854
David, Passanante, 63121924,1.933, PaDa0924
Michelle, Kudrow, 24529236,2.352, KuMi0236
Leslie, Passanante, 65137227,1.405, PaLe0227
Leslie, Levitts, 78870409,2.851, LeLe0409
John, Reich, 58971631,3.616, ReJo0631
John, Reich, 94754624,2.116, ReJo0624
Bob, Reich, 44983376,2.278, ReBo0376
Leslie, Levitts, 72306047,1.894, LeLe0047
Stephanie, Reich, 13845128,2.86, ReSt0128
David, DiMarco, 62781734,3.394, DiDa0734
David, Phillips, 74570845,1.635, PhDa0845
Michelle, Kudrow, 59285583,1.041, KuMi0583
Bob, Levitts, 98512480,1.728, LeBo0480
Leslie, Passanante, 51205996,3.359, PaLe0996
Stephanie, Kudrow, 67959352,2.352, KuSt0352
Bryan, Reich, 47260147,1.065, ReBr0147
Michelle, Reich, 90472973,3.228, ReMi0973
Michelle, Phillips, 74527606,1.226, PhMi0606
John, Reich, 52590196,3.871, ReJo0196
Michelle, Levitts, 93356170,1.06, LeMi0170
John, Phillips, 79027425,2.238, PhJo0425
David, Kudrow, 60522685,3.721, KuDa0685
Lisa, Phillips, 16018755,3.93, PhLi0755
Stephanie, Levitts, 35531699,2.163, LeSt0699
Michelle, Passanante, 49920835,2.926, PaMi0835
John, Reich, 67434736,1.921, ReJo0736
Bryan, Passanante, 94717266,3.554, PaBr0266
John, Kudrow, 72053020,1.392, KuJo0020
John, Levitts, 14555342,1.172, LeJo0342
Bryan, DiMarco, 21986440,1.97, DiBr0440
Stephanie, Levitts, 69947950,1.773, LeSt0950
Bob, Kudrow, 74291598,1.109, KuBo0598
Michelle, Kudrow, 98773468,2.474, KuMi0468
Leslie, DiMarco, 13211728,3.164, DiLe0728
Michael, DiMarco, 15706416,2.604, DiMi0416
Lisa, Waxman, 17841316,2.6, WaLi0316
John, Waxman, 96211719,1.863, WaJo0719
David, Reich, 17108206,2.902, ReDa0206
John, Passanante, 73735400,2.763, PaJo0400
Michael, Levitts, 46956046,3.281, LeMi0046
John, Kudrow, 61224459,2.307, KuJo0459
Michael, Waxman, 87109854,3.016, WaMi0854
Bob, DiMarco, 30608819,3.639, DiBo0819
Michael, Passanante, 37307519,2.02, PaMi0519
Bryan, Reich, 96378109,1.112, ReBr0109
Stephanie, Levitts, 65380072,3.969, LeSt0072
Bryan, Levitts, 91886111,1.0, LeBr0111
John, Phillips, 52063511,2.086, PhJo0511
Stephanie, Levitts, 99515677,2.818, LeSt0677
John, Reich, 29925012,3.42, ReJo0012
David, Kudrow, 18336931,1.956, KuDa0931
Lisa, Passanante, 26286337,1.21, PaLi0337
Stephanie, Levitts, 55391572,3.099, LeSt0572
Michelle, Passanante, 82527234,3.667, PaMi0234
Lisa, Levitts, 89236099,1.657, LeLi0099
Michael, Waxman, 74651669,3.278, WaMi0669
Bob, Waxman, 16876742,2.145, WaBo0742
Michael, Levitts, 62499678,2.455, LeMi0678
John, Passanante, 67728931,2.252, PaJo0931
Michael, Reich, 27487660,2.137, ReMi0660
Stephanie, Kudrow, 90734133,1.052, KuSt0133
David, Levitts, 41259938,1.662, LeDa0938
John, Levitts, 83266824,3.577, LeJo0824
Lisa, Kudrow, 40134371,2.026, KuLi0371
David, Passanante, 22964453,3.705, PaDa0453
Bob, Passanante, 22724857,2.346, PaBo0857
Leslie, Reich, 56113183,3.103, ReLe0183
Stephanie, Levitts, 70623527,1.127, LeSt0527
John, Phillips, 48722241,1.654, PhJo0241
John, Waxman, 64525435,2.674, WaJo0435
Michelle, Levitts, 48919659,3.623, LeMi0659
Bob, Levitts, 70678578,2.735, LeBo0578
Bob, Passanante, 81802264,3.489, PaBo0264
David, Levitts, 55042041,3.216, LeDa0041
Lisa, Reich, 60372685,3.188, ReLi0685
John, DiMarco, 35035072,1.556, DiJo0072
Michelle, DiMarco, 78696214,2.211, DiMi0214
Stephanie, Waxman, 91259941,3.11, WaSt0941
Michael, Kudrow, 25910339,1.785, KuMi0339
Lisa, Kudrow, 44081337,3.616, KuLi0337
Bryan, Passanante, 92219725,2.095, PaBr0725
Michael, Waxman, 62445154,3.6, WaMi0154
Bob, DiMarco, 70509515,2.266, DiBo0515
Michael, Passanante, 74819481,3.299, PaMi0481
Michael, DiMarco, 59709698,1.559, DiMi0698
Bob, Phillips, 14640585,2.445, PhBo0585
Stephanie, Phillips, 68543408,1.021, PhSt0408
Stephanie, DiMarco, 75146710,3.002, DiSt0710
Bryan, Levitts, 90791940,2.517, LeBr0940
David, Phillips, 80982513,1.696, PhDa0513
Bryan, Waxman, 85709302,2.898, WaBr0302
Lisa, Reich, 76456940,1.917, ReLi0940
Michael, DiMarco, 39719117,2.736, DiMi0117
John, Levitts, 22837360,3.352, LeJo0360
Lisa, Reich, 38026683,1.866, ReLi0683
David, Phillips, 29562746,3.422, PhDa0746
Michael, Levitts, 27279016,2.685, LeMi0016
Bob, Levitts, 46758780,3.374, LeBo0780
Bryan, Reich, 52905660,3.927, ReBr0660
Bob, Kudrow, 38937596,3.608, KuBo0596
Michelle, Passanante, 67273123,1.385, PaMi0123
Bryan, Phillips, 62265077,3.586, PhBr0077
Bob, Passanante, 47285696,3.777, PaBo0696
Michelle, Levitts, 50278426,1.416, LeMi0426
Bryan, DiMarco, 12565517,3.749, DiBr0517
Michelle, Levitts, 35436907,3.933, LeMi0907
Michelle, Levitts, 97844654,3.702, LeMi0654
Michael, Waxman, 26388502,1.899, WaMi0502
John, DiMarco, 45702060,1.924, DiJo0060
Michelle, Passanante, 43335324,3.618, PaMi0324
David, Phillips, 28278154,1.237, PhDa0154
David, Phillips, 26380614,2.106, PhDa0614
David, DiMarco, 49099920,1.123, DiDa0920
Stephanie, Waxman, 74240103,3.608, WaSt0103
Michael, Kudrow, 58649247,1.052, KuMi0247
John, Levitts, 53200571,3.088, LeJo0571
Lisa, Waxman, 59807400,1.459, WaLi0400
Bryan, Phillips, 68708414,3.011, PhBr0414
Lisa, Kudrow, 41808392,1.603, KuLi0392
Lisa, Passanante, 74471016,1.518, PaLi0016
John, Kudrow, 53834070,3.269, KuJo0070
Michael, Reich, 66453773,2.824, ReMi0773
Lisa, Kudrow, 31883756,3.014, KuLi0756
Bob, Waxman, 81655540,1.442, WaBo0540
Leslie, Levitts, 95051217,1.442, LeLe0217
Bob, Phillips, 54045336,3.555, PhBo0336
David, DiMarco, 69841820,1.711, DiDa0820
David, DiMarco, 52543128,2.646, DiDa0128
Stephanie, Phillips, 83662624,3.234, PhSt0624
Michelle, Waxman, 98427480,1.208, WaMi0480
David, Waxman, 41118301,3.305, WaDa0301
David, Levitts, 42052906,3.141, LeDa0906
John, DiMarco, 49245627,2.089, DiJo0627
Leslie, Waxman, 91259716,1.151, WaLe0716
Michael, Reich, 10319384,1.218, ReMi0384
Leslie, Phillips, 86359195,2.276, PhLe0195
Leslie, Kudrow, 43362513,1.943, KuLe0513
Michael, Levitts, 49076899,3.342, LeMi0899
John, Phillips, 87993266,3.553, PhJo0266
Bob, Phillips, 55336894,2.968, PhBo0894
Bryan, Kudrow, 36742233,3.541, KuBr0233
Michael, Phillips, 24269762,2.439, PhMi0762
Lisa, Levitts, 54472016,1.714, LeLi0016
Michelle, Reich, 38327158,2.553, ReMi0158
Michael, Kudrow, 46032392,2.232, KuMi0392
Michelle, Phillips, 31885760,1.27, PhMi0760
Stephanie, DiMarco, 45783745,2.269, DiSt0745
Lisa, Phillips, 48223403,3.759, PhLi0403
Bob, Levitts, 85121599,1.777, LeBo0599
Bob, Kudrow, 37250220,3.181, KuBo0220
Michael, Waxman, 96635083,3.563, WaMi0083
Lisa, Passanante, 78877608,2.301, PaLi0608
David, Reich, 76032092,3.639, ReDa0092
John, Reich, 49407814,2.756, ReJo0814
Bryan, Levitts, 25463993,2.572, LeBr0993
Michelle, Waxman, 20826956,3.594, WaMi0956
Bryan, Waxman, 34382694,3.279, WaBr0694
Michelle, Levitts, 95384330,3.396, LeMi0330
Leslie, Kudrow, 66562851,3.508, KuLe0851
Leslie, Waxman, 20340748,1.092, WaLe0748
Stephanie, Phillips, 34422075,3.942, PhSt0075
Stephanie, Levitts, 30268776,3.291, LeSt0776
Leslie, DiMarco, 44271891,2.666, DiLe0891
Bryan, Reich, 66787663,1.742, ReBr0663
David, Passanante, 88632334,1.442, PaDa0334
David, Waxman, 38115773,2.237, WaDa0773
Lisa, Levitts, 14242924,2.02, LeLi0924
Leslie, Levitts, 23323327,1.065, LeLe0327
Michael, DiMarco, 76902883,1.444, DiMi0883
Bob, Levitts, 68668284,3.849, LeBo0284
Lisa, Passanante, 76773387,2.065, PaLi0387
Michelle, DiMarco, 55898166,2.355, DiMi0166
Bryan, Passanante, 40274653,1.739, PaBr0653
Leslie, Passanante, 54900632,2.625, PaLe0632
Bryan, Reich, 37210705,2.402, ReBr0705
Michelle, Phillips, 65585615,3.498, PhMi0615
Bob, Levitts, 74254602,1.016, LeBo0602
John, Kudrow, 56381850,2.394, KuJo0850
John, Kudrow, 38426955,2.572, KuJo0955
John, Reich, 59230595,3.915, ReJo0595
David, Phillips, 46700544,2.634, PhDa0544
Michelle, Passanante, 13459339,1.631, PaMi0339
Michelle, Waxman, 50363853,1.635, WaMi0853
Lisa, Kudrow, 63418344,3.124, KuLi0344
John, Kudrow, 85276298,2.883, KuJo0298
David, Kudrow, 57262817,1.139, KuDa0817
David, Passanante, 61648045,3.997, PaDa0045
Bob, DiMarco, 76763520,1.424, DiBo0520
Michelle, Levitts, 79477122,1.246, LeMi0122
Michelle, Passanante, 70528627,2.608, PaMi0627
David, Waxman, 28276726,2.981, WaDa0726
David, Kudrow, 15519661,1.2, KuDa0661
John, Levitts, 42225489,1.158, LeJo0489
Bryan, Levitts, 74244302,2.547, LeBr0302
Stephanie, Phillips, 74373541,3.641, PhSt0541
John, Kudrow, 57508906,1.35, KuJo0906
John, Kudrow, 26037162,2.758, KuJo0162
Bob, Kudrow, 45113492,1.074, KuBo0492
Stephanie, Levitts, 90014842,2.332, LeSt0842
Bob, Phillips, 79372082,1.33, PhBo0082
Stephanie, Phillips, 88757580,1.138, PhSt0580
Stephanie, Passanante, 18841162,3.094, PaSt0162
David, DiMarco, 31126211,2.514, DiDa0211
Stephanie, Waxman, 32139064,1.324, WaSt0064
David, Reich, 83868567,3.586, ReDa0567
Stephanie, Phillips, 74239134,1.338, PhSt0134
David, Levitts, 66449331,2.313, LeDa0331
Lisa, Passanante, 40119456,3.032, PaLi0456
Stephanie, Levitts, 40365335,1.334, LeSt0335
David, DiMarco, 63151933,2.774, DiDa0933
Michelle, Kudrow, 76579156,3.319, KuMi0156
Leslie, DiMarco, 88113602,3.581, DiLe0602
Michael, Reich, 97203816,2.289, ReMi0816
David, DiMarco, 31202925,3.892, DiDa0925
Stephanie, Levitts, 80071386,3.133, LeSt0386
Michelle, Levitts, 61943895,2.056, LeMi0895
Bob, Reich, 37318309,3.267, ReBo0309
David, Passanante, 24360800,3.355, PaDa0800
Bob, Waxman, 11620271,3.167, WaBo0271
Michael, Waxman, 97306391,2.155, WaMi0391
David, DiMarco, 86209414,2.229, DiDa0414
Stephanie, Passanante, 46326344,2.532, PaSt0344
John, Kudrow, 67306714,3.18, KuJo0714
Bob, Kudrow, 21942753,3.458, KuBo0753
Bryan, DiMarco, 50102320,3.999, DiBr0320
Michelle, Phillips, 31739533,1.385, PhMi0533
Michelle, Levitts, 41916695,2.065, LeMi0695
Bryan, Kudrow, 96132498,3.825, KuBr0498
Leslie, Passanante, 78675353,2.991, PaLe0353
Bob, Phillips, 60206942,3.247, PhBo0942
David, Levitts, 43329997,3.379, LeDa0997
Stephanie, Phillips, 36505558,2.412, PhSt0558
John, Phillips, 37358891,1.425, PhJo0891
Lisa, Waxman, 46149458,2.952, WaLi0458
Leslie, Kudrow, 18979261,3.129, KuLe0261
Stephanie, DiMarco, 58175154,1.807, DiSt0154
Bryan, Waxman, 54204550,1.541, WaBr0550
John, Passanante, 29470301,1.849, PaJo0301
John, Levitts, 29379336,3.287, LeJo0336
Bryan, Reich, 20190980,1.787, ReBr0980
Leslie, DiMarco, 36324709,3.31, DiLe0709
Bryan, Kudrow, 32043388,3.186, KuBr0388
Bryan, Passanante, 53726952,1.569, PaBr0952
Bob, Passanante, 49312703,1.2, PaBo0703
Stephanie, Phillips, 90902320,3.14, PhSt0320
John, DiMarco, 65021967,1.355, DiJo0967
John, Reich, 92570706,3.947, ReJo0706
Leslie, Phillips, 77103774,3.462, PhLe0774
Leslie, Kudrow, 95771069,1.078, KuLe0069
David, Reich, 61967599,2.521, ReDa0599
Bob, Levitts, 72551357,1.411, LeBo0357
Lisa, Waxman, 45345554,3.181, WaLi0554
John, Passanante, 84565812,3.008, PaJo0812
Bryan, Waxman, 52799423,3.116, WaBr0423
David, Phillips, 48212423,2.485, PhDa0423
Bryan, Phillips, 14771742,3.396, PhBr0742
Lisa, Kudrow, 51443345,1.347, KuLi0345
Lisa, Reich, 83563765,2.7, ReLi0765
Stephanie, Passanante, 25881118,2.973, PaSt0118
Michelle, DiMarco, 42123132,1.946, DiMi0132
Michelle, Passanante, 30373476,1.736, PaMi0476
Michelle, Passanante, 17024030,1.703, PaMi0030
David, Kudrow, 84619572,2.466, KuDa0572
Lisa, Passanante, 50522674,2.448, PaLi0674
Michael, Phillips, 44000422,1.223, PhMi0422
Michelle, Waxman, 69070925,3.529, WaMi0925
Bob, Kudrow, 29246386,3.088, KuBo0386
